accession	taxid	organism	
MF037236.1	2066961	Vairimorpha subcoccinellae	
MG063426.1	2017719	Cucumispora sp.	
MG063425.1	2017719	Cucumispora sp.	
MG029394.1	2015745	Dictyocoela sp.	
MG029391.1	2015745	Dictyocoela sp.	
MG029390.1	2015745	Dictyocoela sp.	
MG029389.1	2015745	Dictyocoela sp.	
MG029388.1	2015745	Dictyocoela sp.	
MG029387.1	2015745	Dictyocoela sp.	
MG029375.1	2015745	Dictyocoela sp.	
MG029373.1	2015745	Dictyocoela sp.	
MG029371.1	2015745	Dictyocoela sp.	
MG029370.1	2015745	Dictyocoela sp.	
MG027893.1	2015745	Dictyocoela sp.	
MG027892.1	2015745	Dictyocoela sp.	
MG027891.1	2015745	Dictyocoela sp.	
MG027890.1	2015745	Dictyocoela sp.	
MG027889.1	2015745	Dictyocoela sp.	
MG027888.1	2015745	Dictyocoela sp.	
MG027887.1	2015745	Dictyocoela sp.	
MG027886.1	2015745	Dictyocoela sp.	
MG027885.1	2015745	Dictyocoela sp.	
MG027884.1	2015745	Dictyocoela sp.	
MG027883.1	2015745	Dictyocoela sp.	
MG027882.1	2015745	Dictyocoela sp.	
MG027881.1	2015745	Dictyocoela sp.	
MG027880.1	2015745	Dictyocoela sp.	
MG027879.1	2015745	Dictyocoela sp.	
MG027878.1	2015745	Dictyocoela sp.	
MG027877.1	2015745	Dictyocoela sp.	
MG027876.1	2015745	Dictyocoela sp.	
MG027875.1	2015745	Dictyocoela sp.	
MG027874.1	2015745	Dictyocoela sp.	
MG027873.1	2015745	Dictyocoela sp.	
MG027872.1	2015745	Dictyocoela sp.	
MG027871.1	2015745	Dictyocoela sp.	
MG027870.1	2015745	Dictyocoela sp.	
MG027869.1	2015745	Dictyocoela sp.	
MG027868.1	2015745	Dictyocoela sp.	
MG027867.1	2015745	Dictyocoela sp.	
MG027866.1	2015745	Dictyocoela sp.	
MG027865.1	2015745	Dictyocoela sp.	
MG027864.1	2015745	Dictyocoela sp.	
MF399471.1	2015745	Dictyocoela sp.	
MF399470.1	2015745	Dictyocoela sp.	
MF399469.1	2015745	Dictyocoela sp.	
MF399468.1	2015745	Dictyocoela sp.	
MF399467.1	2015745	Dictyocoela sp.	
MF399466.1	2015745	Dictyocoela sp.	
MF399465.1	2015745	Dictyocoela sp.	
MF399463.1	2015745	Dictyocoela sp.	
MF399462.1	2015745	Dictyocoela sp.	
MF399461.1	2015745	Dictyocoela sp.	
KY615717.1	1844323	Microsporidium sp.	
KY615716.1	1844323	Microsporidium sp.	
KY615715.1	1844323	Microsporidium sp.	
KY615714.1	1844323	Microsporidium sp.	
KY615713.1	1844323	Microsporidium sp.	
KY615712.1	1844323	Microsporidium sp.	
MG584870.1	40300	Nosema sp.	
KY126433.1	40300	Nosema sp.	
KC915038.1	1477415	Ameson portunus	
MG063275.1	2015745	Dictyocoela sp.	
MF882996.1	2034205	Nosema neumanni	
KX981865.1	646526	Enterocytozoon hepatopenaei	
MF405266.1	1844323	Microsporidium sp.	
MF094454.1	40300	Nosema sp.	
KX832080.1	1978551	Lanatospora costata	
KX424959.1	1938578	Pancytospora epiphaga	
KX360153.1	1912981	Nematocida homosporus	
KX360152.1	1912980	Nematocida ciargi	
KX360151.1	1912983	Nematocida minor	
KX360148.1	1912982	Nematocida major	
KX360147.1	1912983	Nematocida minor	
KX360146.1	1912981	Nematocida homosporus	
KX360145.1	1912989	Enteropsectra breve	
KX360144.1	1912992	Enteropsectra sp. JUm1483	
KX360143.1	1912991	Enteropsectra sp. JUm1456	
KX360142.1	1912990	Enteropsectra longa	
KX360141.1	1923960	Nematocida sp. GZ-2016a	
KX360140.1	1923960	Nematocida sp. GZ-2016a	
KX360138.1	1923960	Nematocida sp. GZ-2016a	
KX360137.1	1923960	Nematocida sp. GZ-2016a	
